school_visible_id,fellow_visible_id,group_name,session_number,session_date
ANS23_School_1,TFW23_S_005,1_E15,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_005,1_E15,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_005,1_E15,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_028,1_E16,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_028,1_E16,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_028,1_E16,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_028,1_E16,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_028,1_E16,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_011,1_S001,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_011,1_S001,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_011,1_S001,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_011,1_S001,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_011,1_S001,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_017,1_S002,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_017,1_S002,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_017,1_S002,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_017,1_S002,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_017,1_S002,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_012,1_S003,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_012,1_S003,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_012,1_S003,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_012,1_S003,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_012,1_S003,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_013,1_S004,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_013,1_S004,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_013,1_S004,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_013,1_S004,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_013,1_S004,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_019,1_S005,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_019,1_S005,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_019,1_S005,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_019,1_S005,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_019,1_S005,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_007,2_S01,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_007,2_S01,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_007,2_S01,2,2023-05-28 21:00:00
ANS23_School_1,TFW23_S_007,2_S01,3,2023-06-04 21:00:00
ANS23_School_1,TFW23_S_007,2_S01,4,2023-06-11 21:00:00
ANS23_School_1,TFW23_S_001,2_S02,0,2023-05-14 21:00:00
ANS23_School_1,TFW23_S_001,2_S02,1,2023-05-21 21:00:00
ANS23_School_1,TFW23_S_001,2_S02,2,2023-05-28 21:00:00
